"gene_id"	"chromosome"	"geneStart"
"ENSG00000100577.14"	"chr14"	77787227
"ENSG00000100578.10"	"chr14"	58894103
"ENSG00000100580.7"	"chr14"	77801364
"ENSG00000100583.4"	"chr14"	77843032
"ENSG00000100591.3"	"chr14"	77924213
"ENSG00000100592.11"	"chr14"	59655364
"ENSG00000100593.13"	"chr14"	77940740
"ENSG00000100596.2"	"chr14"	77972340
"ENSG00000100599.11"	"chr14"	92980118
"ENSG00000100600.10"	"chr14"	93170152
"ENSG00000100601.5"	"chr14"	78138747
"ENSG00000100603.9"	"chr14"	78183942
"ENSG00000100604.8"	"chr14"	93389425
"ENSG00000100605.12"	"chr14"	93403259
"ENSG00000100612.9"	"chr14"	60610838
"ENSG00000100614.13"	"chr14"	60712470
"ENSG00000100625.8"	"chr14"	61176246
"ENSG00000100626.12"	"chr14"	69725994
"ENSG00000100628.7"	"chr14"	94400499
"ENSG00000100629.12"	"chr14"	80943330
"ENSG00000100632.6"	"chr14"	69846848
"ENSG00000100644.12"	"chr14"	62162231
"ENSG00000100647.7"	"chr14"	70078313
"ENSG00000100650.11"	"chr14"	70193617
"ENSG00000100652.4"	"chr14"	70242134
"ENSG00000100664.6"	"chr14"	103799881
"ENSG00000100665.7"	"chr14"	95027428
"ENSG00000100678.14"	"chr14"	70510934
"ENSG00000100697.10"	"chr14"	95552565
"ENSG00000100711.9"	"chr14"	104182067
"ENSG00000100714.11"	"chr14"	64854749
"ENSG00000100721.6"	"chr14"	96176304
"ENSG00000100722.14"	"chr14"	89029253
"ENSG00000100726.10"	"chr16"	1543345
"ENSG00000100731.11"	"chr14"	71374122
"ENSG00000100739.6"	"chr14"	96722161
"ENSG00000100744.10"	"chr14"	96829814
"ENSG00000100749.3"	"chr14"	97263641
"ENSG00000100764.9"	"chr14"	90722839
"ENSG00000100767.11"	"chr14"	73704205
"ENSG00000100784.5"	"chr14"	91336799
"ENSG00000100796.13"	"chr14"	91923955
"ENSG00000100802.10"	"chr14"	23456110
"ENSG00000100804.14"	"chr14"	23485752
"ENSG00000100811.6"	"chr14"	100704635
"ENSG00000100813.10"	"chr14"	23527773
"ENSG00000100814.13"	"chr14"	20779527
"ENSG00000100815.8"	"chr14"	92432335
"ENSG00000100823.7"	"chr14"	20923350
"ENSG00000100836.6"	"chr14"	23790498
"ENSG00000100842.8"	"chr14"	23825611
"ENSG00000100852.8"	"chr14"	32545320
"ENSG00000100865.10"	"chr14"	102808956
"ENSG00000100867.10"	"chr14"	24099324
"ENSG00000100883.7"	"chr14"	35451163
"ENSG00000100884.5"	"chr14"	24540046
"ENSG00000100888.8"	"chr14"	21853353
"ENSG00000100889.7"	"chr14"	24563262
"ENSG00000100890.11"	"chr14"	35591052
"ENSG00000100897.13"	"chr14"	24583404
"ENSG00000100902.6"	"chr14"	35747839
"ENSG00000100906.6"	"chr14"	35870717
"ENSG00000100908.9"	"chr14"	24608174
"ENSG00000100911.9"	"chr14"	24612574
"ENSG00000100916.9"	"chr14"	36295524
"ENSG00000100918.8"	"chr14"	24641062
"ENSG00000100926.10"	"chr14"	24658349
"ENSG00000100934.10"	"chr14"	39501123
"ENSG00000100938.13"	"chr14"	24701628
"ENSG00000100941.4"	"chr14"	39644387
"ENSG00000100949.10"	"chr14"	24734744
"ENSG00000100968.9"	"chr14"	24834879
"ENSG00000100979.10"	"chr20"	44527399
"ENSG00000100982.7"	"chr20"	44563267
"ENSG00000100983.5"	"chr20"	33516236
"ENSG00000100985.7"	"chr20"	44637547
"ENSG00000100987.10"	"chr20"	25051521
"ENSG00000100991.7"	"chr20"	33590207
"ENSG00000100994.7"	"chr20"	25228705
"ENSG00000100997.14"	"chr20"	25275379
"ENSG00000101000.4"	"chr20"	33759876
"ENSG00000101003.8"	"chr20"	25388363
"ENSG00000101004.10"	"chr20"	25433341
"ENSG00000101017.9"	"chr20"	44746911
"ENSG00000101019.17"	"chr20"	33890369
"ENSG00000101040.15"	"chr20"	45837859
"ENSG00000101049.10"	"chr20"	42187608
"ENSG00000101052.8"	"chr20"	42219571
"ENSG00000101057.11"	"chr20"	42295754
"ENSG00000101074.3"	"chr20"	42965626
"ENSG00000101076.12"	"chr20"	42984340
"ENSG00000101079.16"	"chr20"	35280169
"ENSG00000101082.9"	"chr20"	35240721
"ENSG00000101084.12"	"chr20"	35234137
"ENSG00000101096.15"	"chr20"	50003494
"ENSG00000101098.8"	"chr20"	43380449
"ENSG00000101104.8"	"chr20"	43538703
"ENSG00000101109.7"	"chr20"	43595115
"ENSG00000101115.8"	"chr20"	50400581
"ENSG00000101126.11"	"chr20"	49505585
"ENSG00000101132.5"	"chr20"	52824386
"ENSG00000101134.7"	"chr20"	53092136
"ENSG00000101138.7"	"chr20"	54967427
"ENSG00000101144.8"	"chr20"	55743804
"ENSG00000101146.8"	"chr20"	55926066
"ENSG00000101150.13"	"chr20"	62496596
"ENSG00000101152.6"	"chr20"	62526518
"ENSG00000101158.8"	"chr20"	57556263
"ENSG00000101160.9"	"chr20"	57570240
"ENSG00000101161.6"	"chr20"	62612488
"ENSG00000101162.3"	"chr20"	57594309
"ENSG00000101166.11"	"chr20"	57608200
"ENSG00000101180.11"	"chr20"	60790026
"ENSG00000101181.13"	"chr20"	60758085
"ENSG00000101182.10"	"chr20"	60711791
"ENSG00000101187.11"	"chr20"	61273797
"ENSG00000101188.4"	"chr20"	61340189
"ENSG00000101189.5"	"chr20"	61427805
"ENSG00000101190.8"	"chr20"	61472467
"ENSG00000101191.12"	"chr20"	61509090
"ENSG00000101193.6"	"chr20"	61569471
"ENSG00000101194.13"	"chr20"	61584052
"ENSG00000101197.8"	"chr20"	61867235
"ENSG00000101198.10"	"chr20"	61872136
"ENSG00000101199.8"	"chr20"	61904137
"ENSG00000101200.5"	"chr20"	3063202
"ENSG00000101203.12"	"chr20"	61924538
"ENSG00000101204.11"	"chr20"	61975420
"ENSG00000101210.6"	"chr20"	62119366
"ENSG00000101213.5"	"chr20"	62159778
"ENSG00000101216.6"	"chr20"	62218955
"ENSG00000101220.13"	"chr20"	3734155
"ENSG00000101222.8"	"chr20"	3758151
"ENSG00000101224.13"	"chr20"	3767578
"ENSG00000101230.5"	"chr20"	13202418
"ENSG00000101236.12"	"chr20"	3907956
"ENSG00000101246.15"	"chr20"	62329996
"ENSG00000101247.13"	"chr20"	13765596
"ENSG00000101251.7"	"chr20"	13829893
"ENSG00000101265.11"	"chr20"	4760669
"ENSG00000101290.9"	"chr20"	5107432
"ENSG00000101292.6"	"chr20"	5282317
"ENSG00000101294.12"	"chr20"	30102231
"ENSG00000101298.9"	"chr20"	1246960
"ENSG00000101306.6"	"chr20"	30407111
"ENSG00000101307.11"	"chr20"	1544167
"ENSG00000101310.10"	"chr20"	18488137
"ENSG00000101311.11"	"chr20"	6055492
"ENSG00000101323.4"	"chr20"	7863628
"ENSG00000101327.4"	"chr20"	1959403
"ENSG00000101331.11"	"chr20"	30598245
"ENSG00000101333.12"	"chr20"	9049410
"ENSG00000101335.5"	"chr20"	35169887
"ENSG00000101336.8"	"chr20"	30639991
"ENSG00000101337.11"	"chr20"	30697309
"ENSG00000101342.5"	"chr20"	35504524
"ENSG00000101343.10"	"chr20"	20015012
"ENSG00000101346.7"	"chr20"	30795683
"ENSG00000101347.7"	"chr20"	35518632
"ENSG00000101349.12"	"chr20"	9518036
"ENSG00000101350.6"	"chr20"	30865467
"ENSG00000101353.10"	"chr20"	35729629
"ENSG00000101361.10"	"chr20"	2632791
"ENSG00000101363.8"	"chr20"	35918041
"ENSG00000101365.16"	"chr20"	2639041
"ENSG00000101367.8"	"chr20"	31407699
"ENSG00000101384.7"	"chr20"	10618332
"ENSG00000101391.16"	"chr20"	31946645
"ENSG00000101400.5"	"chr20"	31995761
"ENSG00000101405.3"	"chr20"	3052266
"ENSG00000101407.8"	"chr20"	36611409
"ENSG00000101412.9"	"chr20"	32263489
"ENSG00000101413.7"	"chr20"	36661948
"ENSG00000101417.7"	"chr20"	32294512
"ENSG00000101421.3"	"chr20"	32399110
"ENSG00000101425.8"	"chr20"	36888551
"ENSG00000101435.4"	"chr20"	23545369
"ENSG00000101438.3"	"chr20"	37353105
"ENSG00000101439.4"	"chr20"	23608534
"ENSG00000101440.5"	"chr20"	32782375
"ENSG00000101441.4"	"chr20"	23666277
"ENSG00000101442.8"	"chr20"	37377085
"ENSG00000101443.13"	"chr20"	44098346
"ENSG00000101444.8"	"chr20"	32868074
"ENSG00000101445.5"	"chr20"	37434348
"ENSG00000101446.7"	"chr20"	44141101
"ENSG00000101447.9"	"chr20"	37554955
"ENSG00000101448.9"	"chr20"	44165625
"ENSG00000101452.10"	"chr20"	37590942
"ENSG00000101457.8"	"chr20"	44420576
"ENSG00000101460.8"	"chr20"	33134658
"ENSG00000101463.5"	"chr20"	24449835
"ENSG00000101464.6"	"chr20"	33148346
"ENSG00000101470.5"	"chr20"	44451853
"ENSG00000101473.12"	"chr20"	44470360
"ENSG00000101474.7"	"chr20"	24943561
"ENSG00000101489.14"	"chr18"	34823010
"ENSG00000101493.6"	"chr18"	74069644
"ENSG00000101542.5"	"chr18"	59000815
"ENSG00000101544.4"	"chr18"	77866915
"ENSG00000101546.8"	"chr18"	77794358
"ENSG00000101558.9"	"chr18"	9913999
"ENSG00000101574.10"	"chr18"	2537524
"ENSG00000101577.5"	"chr18"	2916992
"ENSG00000101596.10"	"chr18"	2655737
"ENSG00000101605.8"	"chr18"	3066805
"ENSG00000101608.8"	"chr18"	3247479
"ENSG00000101624.6"	"chr18"	12661832
"ENSG00000101638.9"	"chr18"	44259081
"ENSG00000101639.14"	"chr18"	12991361
"ENSG00000101654.13"	"chr18"	13726659
"ENSG00000101665.4"	"chr18"	46446223
"ENSG00000101670.7"	"chr18"	47087069
"ENSG00000101680.9"	"chr18"	6941743
"ENSG00000101695.4"	"chr18"	29598335
"ENSG00000101745.11"	"chr18"	9136226
"ENSG00000101746.11"	"chr18"	31431064
"ENSG00000101751.6"	"chr18"	51795774
"ENSG00000101752.7"	"chr18"	19284918
"ENSG00000101773.12"	"chr18"	20378224
"ENSG00000101782.10"	"chr18"	21032787
"ENSG00000101811.9"	"chrX"	100075384
"ENSG00000101812.8"	"chrX"	103268269
"ENSG00000101825.7"	"chrX"	3226606
"ENSG00000101842.9"	"chrX"	107288200
"ENSG00000101843.14"	"chrX"	107327437
"ENSG00000101844.13"	"chrX"	107334898
"ENSG00000101846.6"	"chrX"	7137497
"ENSG00000101849.11"	"chrX"	9431335
"ENSG00000101850.8"	"chrX"	9693386
"ENSG00000101856.8"	"chrX"	118370216
"ENSG00000101868.6"	"chrX"	24712036
"ENSG00000101871.10"	"chrX"	10413350
"ENSG00000101882.5"	"chrX"	119059014
"ENSG00000101883.4"	"chrX"	119243011
"ENSG00000101888.7"	"chrX"	108779010
"ENSG00000101890.4"	"chrX"	108616135
"ENSG00000101892.7"	"chrX"	119495967
"ENSG00000101901.6"	"chrX"	110909043
"ENSG00000101911.8"	"chrX"	12809474
"ENSG00000101916.11"	"chrX"	12924739
"ENSG00000101928.8"	"chrX"	134021656
"ENSG00000101935.5"	"chrX"	109437414
"ENSG00000101938.10"	"chrX"	109917084
"ENSG00000101940.13"	"chrX"	48448430
"ENSG00000101945.12"	"chrX"	48553945
"ENSG00000101951.12"	"chrX"	49593863
"ENSG00000101955.10"	"chrX"	38008589
"ENSG00000101958.9"	"chrX"	14547420
"ENSG00000101966.8"	"chrX"	122993574
"ENSG00000101972.14"	"chrX"	123094062
"ENSG00000101974.10"	"chrX"	138808505
"ENSG00000101977.15"	"chrX"	138663929
"ENSG00000101981.6"	"chrX"	138612917
"ENSG00000101986.8"	"chrX"	152990323
"ENSG00000101997.8"	"chrX"	49091927
"ENSG00000102001.8"	"chrX"	49061523
"ENSG00000102003.6"	"chrX"	49044269
"ENSG00000102007.6"	"chrX"	49028273
"ENSG00000102010.10"	"chrX"	15482369
"ENSG00000102021.6"	"chrX"	114524293
"ENSG00000102024.13"	"chrX"	114795501
"ENSG00000102030.11"	"chrX"	153194695
"ENSG00000102032.8"	"chrX"	153200716
"ENSG00000102034.12"	"chrX"	129198849
"ENSG00000102038.11"	"chrX"	128580480
"ENSG00000102043.11"	"chrX"	63444187
"ENSG00000102048.11"	"chrX"	15253410
"ENSG00000102053.11"	"chrX"	64708615
"ENSG00000102054.13"	"chrX"	16857406
"ENSG00000102057.5"	"chrX"	48818639
"ENSG00000102069.3"	"chrX"	142967173
"ENSG00000102076.5"	"chrX"	153409698
"ENSG00000102078.11"	"chrX"	129473874
"ENSG00000102080.8"	"chrX"	153424682
"ENSG00000102081.9"	"chrX"	146993469
"ENSG00000102096.9"	"chrX"	48770459
"ENSG00000102098.13"	"chrX"	18257434
"ENSG00000102100.10"	"chrX"	48760459
"ENSG00000102103.11"	"chrX"	48755195
"ENSG00000102104.8"	"chrX"	18658030
"ENSG00000102109.7"	"chrX"	48689504
"ENSG00000102119.6"	"chrX"	153607557
"ENSG00000102125.11"	"chrX"	153639854
"ENSG00000102128.6"	"chrX"	102192200
"ENSG00000102144.9"	"chrX"	77320685
"ENSG00000102145.9"	"chrX"	48644962
"ENSG00000102158.15"	"chrX"	77081861
"ENSG00000102172.11"	"chrX"	21958691
"ENSG00000102174.7"	"chrX"	22050559
"ENSG00000102178.8"	"chrX"	153712056
"ENSG00000102181.15"	"chrX"	149934810
"ENSG00000102189.12"	"chr12"	93164413
"ENSG00000102195.7"	"chrX"	150345125
"ENSG00000102218.5"	"chrX"	46696375
"ENSG00000102221.9"	"chrX"	46771711
"ENSG00000102225.11"	"chrX"	47077259
"ENSG00000102226.5"	"chrX"	47092089
"ENSG00000102230.9"	"chrX"	24576204
"ENSG00000102239.4"	"chrX"	135570046
"ENSG00000102241.7"	"chrX"	135579238
"ENSG00000102243.8"	"chrX"	135614311
"ENSG00000102245.3"	"chrX"	135730352
"ENSG00000102265.7"	"chrX"	47441712
"ENSG00000102271.9"	"chrX"	86772752
"ENSG00000102287.12"	"chrX"	151121596
"ENSG00000102290.17"	"chrX"	91034260
"ENSG00000102302.7"	"chrX"	54471887
"ENSG00000102309.8"	"chrX"	71401203
"ENSG00000102312.16"	"chrX"	48367350
"ENSG00000102313.8"	"chrX"	54775332
"ENSG00000102316.12"	"chrX"	54834032
"ENSG00000102317.13"	"chrX"	48432837
"ENSG00000102349.10"	"chrX"	56258854
"ENSG00000102359.5"	"chrX"	99899215
"ENSG00000102362.11"	"chrX"	99929488
"ENSG00000102383.9"	"chrX"	74588262
"ENSG00000102384.9"	"chrX"	100353178
"ENSG00000102385.8"	"chrX"	100474758
"ENSG00000102387.11"	"chrX"	100523241
"ENSG00000102390.6"	"chrX"	75392771
"ENSG00000102393.5"	"chrX"	100652791
"ENSG00000102401.15"	"chrX"	100877787
"ENSG00000102409.9"	"chrX"	102470020
"ENSG00000102445.14"	"chr13"	46916139
"ENSG00000102452.11"	"chr13"	101706130
"ENSG00000102466.11"	"chr13"	102372134
"ENSG00000102468.6"	"chr13"	47405685
"ENSG00000102471.9"	"chr13"	80055287
"ENSG00000102524.7"	"chr13"	108903588
"ENSG00000102531.12"	"chr13"	49550048
"ENSG00000102539.4"	"chr13"	49794474
"ENSG00000102543.10"	"chr13"	49822047
"ENSG00000102547.14"	"chr13"	49882786
"ENSG00000102554.9"	"chr13"	73629114
"ENSG00000102572.10"	"chr13"	99102455
"ENSG00000102575.6"	"chr19"	11685475
"ENSG00000102580.10"	"chr13"	96329393
"ENSG00000102595.14"	"chr13"	96453834
"ENSG00000102606.13"	"chr13"	111766906
"ENSG00000102678.6"	"chr13"	22245522
"ENSG00000102683.6"	"chr13"	23755091
"ENSG00000102699.5"	"chr13"	24995064
"ENSG00000102710.15"	"chr13"	37583449
"ENSG00000102738.6"	"chr13"	41303432
"ENSG00000102743.10"	"chr13"	41363548
"ENSG00000102753.5"	"chr13"	50273447
"ENSG00000102755.6"	"chr13"	28874489
"ENSG00000102760.12"	"chr13"	42031695
"ENSG00000102763.11"	"chr13"	42140973
"ENSG00000102780.12"	"chr13"	42614176
"ENSG00000102781.9"	"chr13"	30776767
"ENSG00000102786.10"	"chr13"	51928213
"ENSG00000102794.5"	"chr13"	77522632
"ENSG00000102796.6"	"chr13"	52342129
"ENSG00000102802.5"	"chr13"	31480328
"ENSG00000102804.10"	"chr13"	45007655
"ENSG00000102805.9"	"chr13"	77564795
"ENSG00000102837.6"	"chr13"	53602894
"ENSG00000102858.8"	"chr16"	4666494
"ENSG00000102870.4"	"chr16"	30789778
"ENSG00000102871.11"	"chr16"	67188083
"ENSG00000102878.11"	"chr16"	67197288
"ENSG00000102879.11"	"chr16"	30194148
"ENSG00000102882.7"	"chr16"	30125426
"ENSG00000102886.10"	"chr16"	30116131
"ENSG00000102890.10"	"chr16"	67233014
"ENSG00000102891.3"	"chr16"	56598961
"ENSG00000102893.11"	"chr16"	47495034
"ENSG00000102897.5"	"chr16"	20911190
"ENSG00000102898.7"	"chr16"	67880635
"ENSG00000102900.8"	"chr16"	56764017
"ENSG00000102901.8"	"chr16"	67862060
"ENSG00000102904.10"	"chr16"	67840668
"ENSG00000102908.16"	"chr16"	69598997
"ENSG00000102910.9"	"chr16"	48278207
"ENSG00000102921.3"	"chr16"	48572637
"ENSG00000102924.7"	"chr16"	49311828
"ENSG00000102931.3"	"chr16"	57279010
"ENSG00000102934.5"	"chr16"	57290004
"ENSG00000102935.7"	"chr16"	49521435
"ENSG00000102962.4"	"chr16"	57392684
"ENSG00000102967.7"	"chr16"	72042487
"ENSG00000102970.6"	"chr16"	57438679
"ENSG00000102974.10"	"chr16"	67596310
"ENSG00000102977.9"	"chr16"	67691415
"ENSG00000102978.8"	"chr16"	57496299
"ENSG00000102981.5"	"chr16"	67694849
"ENSG00000102984.10"	"chr16"	71893583
"ENSG00000102996.4"	"chr16"	58059470
"ENSG00000103005.7"	"chr16"	58033450
"ENSG00000103018.12"	"chr16"	69458428
"ENSG00000103021.5"	"chr16"	58265061
"ENSG00000103023.7"	"chr16"	58313901
"ENSG00000103024.3"	"chr16"	1820287
"ENSG00000103034.10"	"chr16"	58496750
"ENSG00000103035.6"	"chr16"	74330673
"ENSG00000103037.7"	"chr16"	58549383
"ENSG00000103042.4"	"chr16"	58699013
"ENSG00000103043.10"	"chr16"	70721342
"ENSG00000103044.6"	"chr16"	69139467
"ENSG00000103047.3"	"chr16"	68877507
"ENSG00000103051.14"	"chr16"	70514471
"ENSG00000103056.7"	"chr16"	68392231
"ENSG00000103061.7"	"chr16"	68318406
"ENSG00000103064.9"	"chr16"	68298433
"ENSG00000103066.8"	"chr16"	68279207
"ENSG00000103067.7"	"chr16"	68263014
"ENSG00000103089.4"	"chr16"	74746853
"ENSG00000103091.10"	"chr16"	74907468
"ENSG00000103111.10"	"chr16"	77224732
"ENSG00000103121.4"	"chr16"	81009698
"ENSG00000103145.6"	"chr16"	3072621
"ENSG00000103150.4"	"chr16"	83932731
"ENSG00000103154.5"	"chr16"	84002237
"ENSG00000103160.7"	"chr16"	84155886
"ENSG00000103168.12"	"chr16"	84211458
"ENSG00000103174.7"	"chr16"	5074845
"ENSG00000103175.6"	"chr16"	84328252
"ENSG00000103184.7"	"chr16"	5008318
"ENSG00000103187.6"	"chr16"	84599200
"ENSG00000103194.11"	"chr16"	84733584
"ENSG00000103196.7"	"chr16"	84853590
"ENSG00000103197.12"	"chr16"	2097466
"ENSG00000103199.9"	"chr16"	4798240
"ENSG00000103222.14"	"chr16"	16043434
"ENSG00000103226.13"	"chr16"	16326352
"ENSG00000103241.5"	"chr16"	86544133
"ENSG00000103248.13"	"chr16"	86563782
"ENSG00000103249.13"	"chr16"	1494935
"ENSG00000103257.4"	"chr16"	87863629
"ENSG00000103264.11"	"chr16"	87360593
"ENSG00000103274.6"	"chr16"	10837643
"ENSG00000103275.14"	"chr16"	1355548
"ENSG00000103310.6"	"chr16"	21208773
"ENSG00000103313.7"	"chr16"	3292028
"ENSG00000103316.6"	"chr16"	21250195
"ENSG00000103319.7"	"chr16"	22217603
"ENSG00000103335.15"	"chr16"	88781751
"ENSG00000103342.8"	"chr16"	11961985
"ENSG00000103343.8"	"chr16"	3451235
"ENSG00000103351.8"	"chr16"	3550924
"ENSG00000103353.11"	"chr16"	23568392
"ENSG00000103355.8"	"chr16"	2833954
"ENSG00000103356.11"	"chr16"	23533335
"ENSG00000103363.10"	"chr16"	2821415
"ENSG00000103365.11"	"chr16"	23474863
"ENSG00000103375.6"	"chr16"	25227052
"ENSG00000103381.7"	"chr16"	12756919
"ENSG00000103404.10"	"chr16"	23072727
"ENSG00000103415.7"	"chr16"	4524691
"ENSG00000103423.9"	"chr16"	4475806
"ENSG00000103426.8"	"chr16"	4390252
"ENSG00000103429.6"	"chr16"	14726672
"ENSG00000103449.7"	"chr16"	51169886
"ENSG00000103460.12"	"chr16"	52471917
"ENSG00000103479.10"	"chr16"	53467889
"ENSG00000103485.13"	"chr16"	29674600
"ENSG00000103489.7"	"chr16"	17195626
"ENSG00000103490.13"	"chr16"	31212806
"ENSG00000103494.8"	"chr16"	53631595
"ENSG00000103495.9"	"chr16"	29817427
"ENSG00000103496.10"	"chr16"	31044210
"ENSG00000103502.9"	"chr16"	29869678
"ENSG00000103507.9"	"chr16"	31117428
"ENSG00000103510.15"	"chr16"	31127075
"ENSG00000103512.10"	"chr16"	14927538
"ENSG00000103522.11"	"chr16"	27413483
"ENSG00000103528.12"	"chr16"	19179293
"ENSG00000103534.12"	"chr16"	19421818
"ENSG00000103540.12"	"chr16"	19535133
"ENSG00000103544.10"	"chr16"	19566562
"ENSG00000103546.14"	"chr16"	55689516
"ENSG00000103549.17"	"chr16"	30773066
"ENSG00000103550.9"	"chr16"	19714902
"ENSG00000103569.5"	"chr15"	58430368
"ENSG00000103591.8"	"chr15"	67493371
"ENSG00000103599.15"	"chr15"	67547138
"ENSG00000103642.7"	"chr15"	63413999
"ENSG00000103647.8"	"chr15"	68871308
"ENSG00000103653.12"	"chr15"	75074398
"ENSG00000103657.9"	"chr15"	63900817
"ENSG00000103671.5"	"chr15"	64679947
"ENSG00000103707.5"	"chr15"	65294845
"ENSG00000103710.6"	"chr15"	65345679
"ENSG00000103723.8"	"chr15"	83328033
"ENSG00000103740.5"	"chr15"	78459810
"ENSG00000103742.7"	"chr15"	65673802
"ENSG00000103769.5"	"chr15"	66018392
"ENSG00000103811.11"	"chr15"	79213400
"ENSG00000103852.8"	"chr15"	99676528
"ENSG00000103855.13"	"chr15"	73976307
"ENSG00000103876.7"	"chr15"	80444832
"ENSG00000103888.11"	"chr15"	81071684
"ENSG00000103932.7"	"chr15"	41809374
"ENSG00000103942.8"	"chr15"	83509838
"ENSG00000103966.5"	"chr15"	42190950
"ENSG00000103978.11"	"chr15"	42502730
"ENSG00000103994.12"	"chr15"	42705021
"ENSG00000103995.9"	"chr15"	49005125
"ENSG00000104043.10"	"chr15"	50150435
"ENSG00000104044.11"	"chr15"	28000021
"ENSG00000104047.10"	"chr15"	49913177
"ENSG00000104055.10"	"chr15"	43524793
"ENSG00000104059.4"	"chr15"	29412457
"ENSG00000104064.12"	"chr15"	50569389
"ENSG00000104067.12"	"chr15"	29991571
"ENSG00000104081.9"	"chr15"	40380091
"ENSG00000104093.9"	"chr15"	51739908
"ENSG00000104112.4"	"chr15"	51973550
"ENSG00000104129.5"	"chr15"	41060067
"ENSG00000104131.8"	"chr15"	44829255
"ENSG00000104133.10"	"chr15"	44854894
"ENSG00000104140.6"	"chr15"	41164412
"ENSG00000104142.6"	"chr15"	41186628
"ENSG00000104147.4"	"chr15"	41601466
"ENSG00000104154.5"	"chr15"	45771809
"ENSG00000104164.6"	"chr15"	45879321
"ENSG00000104177.13"	"chr15"	48431625
"ENSG00000104205.8"	"chr8"	67624653
"ENSG00000104213.8"	"chr8"	17433942
"ENSG00000104218.9"	"chr8"	67974661
"ENSG00000104219.8"	"chr8"	17013538
"ENSG00000104221.8"	"chr8"	37700786
"ENSG00000104228.8"	"chr8"	27142404
"ENSG00000104231.6"	"chr8"	82613569
"ENSG00000104237.6"	"chr8"	55528627
"ENSG00000104267.5"	"chr8"	86376081
"ENSG00000104290.6"	"chr8"	28351729
"ENSG00000104299.10"	"chr8"	28625178
"ENSG00000104312.6"	"chr8"	90769975
"ENSG00000104313.13"	"chr8"	72109668
"ENSG00000104320.9"	"chr8"	90945564
"ENSG00000104321.6"	"chr8"	72932152
"ENSG00000104324.11"	"chr8"	97657455
"ENSG00000104325.2"	"chr8"	91013633
"ENSG00000104327.3"	"chr8"	91070836
"ENSG00000104331.4"	"chr8"	57870492
"ENSG00000104332.7"	"chr8"	41119481
"ENSG00000104341.12"	"chr8"	98787285
"ENSG00000104343.15"	"chr8"	74692332
"ENSG00000104356.6"	"chr8"	99129525
"ENSG00000104361.5"	"chr8"	99202061
"ENSG00000104365.9"	"chr8"	42128820
"ENSG00000104368.13"	"chr8"	42032236
"ENSG00000104369.4"	"chr8"	75146935
"ENSG00000104371.4"	"chr8"	42231586
"ENSG00000104375.11"	"chr8"	99413631
"ENSG00000104381.8"	"chr8"	75233365
"ENSG00000104388.10"	"chr8"	61429416
"ENSG00000104408.5"	"chr8"	109213445
"ENSG00000104412.3"	"chr8"	109455830
"ENSG00000104413.11"	"chr8"	95653302
"ENSG00000104415.9"	"chr8"	134203282
"ENSG00000104419.10"	"chr8"	134249414
"ENSG00000104427.7"	"chr8"	79578282
"ENSG00000104432.8"	"chr8"	79587978
"ENSG00000104435.9"	"chr8"	80523049
"ENSG00000104442.5"	"chr8"	66514694
"ENSG00000104447.7"	"chr8"	116420724
"ENSG00000104450.8"	"chr8"	101170134
"ENSG00000104472.5"	"chr8"	141521397
"ENSG00000104490.13"	"chr8"	102698771
"ENSG00000104497.9"	"chr8"	82711816
"ENSG00000104499.2"	"chr8"	143915663
"ENSG00000104517.8"	"chr8"	103265240
"ENSG00000104518.6"	"chr8"	144635377
"ENSG00000104522.11"	"chr8"	144694788
"ENSG00000104524.9"	"chr8"	144686083
"ENSG00000104529.13"	"chr8"	144661867
"ENSG00000104537.12"	"chr8"	124693034
"ENSG00000104549.7"	"chr8"	126010739
"ENSG00000104611.7"	"chr8"	19171128
"ENSG00000104613.7"	"chr8"	19674651
"ENSG00000104626.10"	"chr8"	8859657
"ENSG00000104635.9"	"chr8"	22224762
"ENSG00000104643.5"	"chr8"	11141925
"ENSG00000104660.13"	"chr8"	29952914
"ENSG00000104671.3"	"chr8"	30013813
"ENSG00000104679.6"	"chr8"	23127633
"ENSG00000104687.8"	"chr8"	30535583
"ENSG00000104689.5"	"chr8"	23047965
"ENSG00000104695.8"	"chr8"	30631973
"ENSG00000104722.9"	"chr8"	24770525
"ENSG00000104723.16"	"chr8"	15274724
"ENSG00000104728.11"	"chr8"	1772142
"ENSG00000104731.9"	"chr16"	87730091
"ENSG00000104738.12"	"chr8"	48872745
"ENSG00000104755.10"	"chr8"	39601254
"ENSG00000104756.11"	"chr8"	25285366
"ENSG00000104760.12"	"chr8"	17721889
"ENSG00000104763.13"	"chr8"	17913934
"ENSG00000104765.10"	"chr8"	26240414
"ENSG00000104774.8"	"chr19"	12757325
"ENSG00000104783.7"	"chr19"	44270685
"ENSG00000104804.3"	"chr19"	49384222
"ENSG00000104805.11"	"chr19"	49403307
"ENSG00000104808.3"	"chr19"	49436939
"ENSG00000104812.10"	"chr19"	49471382
"ENSG00000104814.8"	"chr19"	39078281
"ENSG00000104818.14"	"chr19"	49535169
"ENSG00000104823.4"	"chr19"	39306062
"ENSG00000104824.12"	"chr19"	39327028
"ENSG00000104825.12"	"chr19"	39390340
"ENSG00000104826.7"	"chr19"	49519237
"ENSG00000104827.12"	"chr19"	49526126
"ENSG00000104833.6"	"chr19"	6494330
